country_org,start_year,end_year,seat,note
Mexico,2009,2010,elected,
Turkey,2009,2010,elected,
Uganda,2009,2010,elected,
Bosnia And Herzegovina,2010,2011,elected,
Brazil,2010,2011,elected,
Gabon,2010,2011,elected,
Lebanon,2010,2011,elected,
Nigeria,2010,2011,elected,
Colombia,2011,2012,elected,
Germany,2011,2012,elected,
India,2011,2012,elected,
Portugal,2011,2012,elected,
South Africa,2011,2012,elected,
Azerbaijan,2012,2013,elected,
Guatemala,2012,2013,elected,
Morocco,2012,2013,elected,
Pakistan,2012,2013,elected,
Togo,2012,2013,elected,
Argentina,2013,2014,elected,
Australia,2013,2014,elected,
Luxembourg,2013,2014,elected,
Republic Of Korea,2013,2014,elected,
Rwanda,2013,2014,elected,
Chad,2014,2015,elected,
Chile,2014,2015,elected,
Jordan,2014,2015,elected,Took the seat Saudi Arabia was elected to and declined in 2013
Lithuania,2014,2015,elected,
Nigeria,2014,2015,elected,
Angola,2015,2016,elected,
Malaysia,2015,2016,elected,
New Zealand,2015,2016,elected,
Spain,2015,2016,elected,
Venezuela (Bolivarian Republic Of),2015,2016,elected,
Egypt,2016,2017,elected,
Japan,2016,2017,elected,
Senegal,2016,2017,elected,
Ukraine,2016,2017,elected,
Uruguay,2016,2017,elected,
Bolivia (Plurinational State Of),2017,2018,elected,
Ethiopia,2017,2018,elected,
Kazakhstan,2017,2018,elected,
Sweden,2017,2018,elected,
Italy,2017,2017,elected,Split term with the Netherlands; Italy served 2017
Netherlands,2018,2018,elected,Split term with Italy; the Netherlands served 2018
Cote D'ivoire,2018,2019,elected,
Equatorial Guinea,2018,2019,elected,
Kuwait,2018,2019,elected,
Peru,2018,2019,elected,
Poland,2018,2019,elected,
Belgium,2019,2020,elected,
Dominican Republic,2019,2020,elected,
Germany,2019,2020,elected,
Indonesia,2019,2020,elected,
South Africa,2019,2020,elected,
Estonia,2020,2021,elected,
Niger,2020,2021,elected,
Saint Vincent And The Grenadines,2020,2021,elected,
Tunisia,2020,2021,elected,
Viet Nam,2020,2021,elected,
India,2021,2022,elected,
Ireland,2021,2022,elected,
Kenya,2021,2022,elected,
Mexico,2021,2022,elected,
Norway,2021,2022,elected,
Albania,2022,2023,elected,
Brazil,2022,2023,elected,
Gabon,2022,2023,elected,
Ghana,2022,2023,elected,
United Arab Emirates,2022,2023,elected,
Ecuador,2023,2024,elected,
Japan,2023,2024,elected,
Malta,2023,2024,elected,
Mozambique,2023,2024,elected,
Switzerland,2023,2024,elected,
