date,label,kind,source,source_url,note
2014-08-15,Sanctions on ISIL and the Al-Nusrah Front,council,S/RES/2170,https://docs.un.org/en/S/RES/2170(2014),
2015-07-08,Srebrenica genocide resolution vetoed,contested,SC/11961,https://press.un.org/en/2015/sc11961.doc.htm,Russia's veto on the twentieth anniversary
2017-08-25,Rakhine: the Rohingya exodus begins,atrocity,OHCHR mission report,https://www.ohchr.org/sites/default/files/Documents/Countries/MM/CXBMissionSummaryFindingsOctober2017.pdf,
2019-11-11,The Gambia v. Myanmar filed at the ICJ,legal,ICJ 178,https://www.icj-cij.org/case/178,First Genocide Convention case brought by a non-injured state
2020-01-23,Provisional measures ordered in The Gambia v. Myanmar,legal,ICJ 178,https://www.icj-cij.org/case/178,
2022-02-24,Russia invades Ukraine,conflict,SG/SM/21158,https://press.un.org/en/2022/sgsm21158.doc.htm,Invasion justified in part by a genocide claim in Donbas
2022-03-16,Provisional measures ordered in Ukraine v. Russia,legal,ICJ 182,https://www.icj-cij.org/case/182,Brought under the Genocide Convention
2023-10-07,Hamas attack on Israel,conflict,SG/SM/22021,https://press.un.org/en/2023/sgsm22021.doc.htm,
2023-12-29,South Africa v. Israel filed at the ICJ,legal,ICJ 192,https://www.icj-cij.org/case/192,Two days before the corpus ends
1998-09-02,Akayesu judgement: first international genocide conviction,legal,ICTR-96-4-T,https://unictr.irmct.org/en/cases/ictr-96-4,Trial Chamber I of the ICTR convicts Jean-Paul Akayesu of genocide; rape recognised as an act of genocide
2001-08-02,Krstić judgement: Srebrenica found to be genocide,legal,IT-98-33-T,https://www.icty.org/en/case/krstic,First ICTY genocide conviction; the Appeals Chamber upheld the genocide finding in 2004
2005-02-01,Darfur Commission of Inquiry report transmitted to the Council,legal,S/2005/60,https://docs.un.org/en/S/2005/60,Finds crimes against humanity but concludes the Government did not pursue a policy of genocide
2007-02-26,ICJ judgment in Bosnia and Herzegovina v. Serbia and Montenegro,legal,ICJ General List No. 91,https://www.icj-cij.org/case/91,Srebrenica held to be genocide; Serbia found to have breached its duty to prevent it
2009-03-04,First ICC arrest warrant for Omar al-Bashir,legal,ICC-02/05-01/09,https://www.icc-cpi.int/darfur/albashir,The genocide charge was added by a second warrant on 12 July 2010
2014-04-16,Council debate on the twentieth anniversary of the Rwandan genocide,council,S/PV.7155,https://docs.un.org/en/S/PV.7155,The corpus's largest meeting for the word: 198 occurrences in one sitting
2016-03-24,Karadžić judgement,legal,IT-95-5/18-T,https://www.icty.org/en/case/karadzic,Convicted of genocide at Srebrenica; upheld on appeal in 2019
2017-11-22,Mladić judgement,legal,IT-09-92-T,https://www.icty.org/en/case/mladic,Convicted of genocide at Srebrenica; upheld on appeal in 2021
2018-11-16,ECCC genocide convictions of Nuon Chea and Khieu Samphan,legal,ECCC Case 002/02,https://www.un.org/sg/en/content/sg/notes-correspondents/2018-11-16/note-correspondents-statement-adama-dieng-un-special-adviser-the-prevention-of-genocide-the-conviction-of-nuon-chea-and-khieu-samphan-the-extraordinary,First genocide convictions concerning crimes committed under the Khmer Rouge
2024-01-26,ICJ indicates provisional measures in South Africa v. Israel,legal,ICJ 192,https://www.icj-cij.org/index.php/node/203453,The order concerns claimed rights under the Genocide Convention and does not decide the merits
2024-05-23,General Assembly establishes the Srebrenica genocide remembrance day,institutional,A/RES/78/282,https://press.un.org/en/2024/ga12601.doc.htm,Designates 11 July as an annual international day and condemns genocide denial
