id,label,description,kind,iso3,years,since,retired_in,superseded_by
india_muslims,Muslims in India,Speeches invoking the treatment of the Muslim population of India as genocide or genocidal.,case,IND,,2,,
afghanistan_hazara,Afghanistan and the Hazaras,"Speeches invoking mass violence in Afghanistan as genocide or genocidal, in particular attacks on its Hazara population.",case,AFG,1996-,2,,
nagorno_karabakh,Nagorno-Karabakh,Speeches invoking the Nagorno-Karabakh conflict and the departure of its Armenian population as genocide or genocidal.,case,AZE,1988-2023,1,,
khojaly,Khojaly,"Speeches invoking the killings at Khojaly as genocide or genocidal, which Azerbaijan raises as an event of its own.",case,AZE,1992,2,,
abkhazia_south_ossetia,Abkhazia and South Ossetia,Speeches invoking the conflicts in Abkhazia and South Ossetia and the displacement of their populations as genocide or genocidal.,case,GEO,1992-2008,2,,
crimean_tatars,Crimean Tatars,"Speeches invoking the wartime deportation of the Crimean Tatars, or their treatment under the occupation of Crimea, as genocide or genocidal.",case,UKR,1944-,2,,
ukraine_2022,Ukraine since 2022,"Speeches invoking genocide in connection with the war in Ukraine, in either direction: against Russia's conduct and in Russia's own claims about Donbas.",case,UKR,2022-,1,2,ukraine
ukraine,Ukraine,"Speeches invoking genocide in connection with the war in Ukraine, in either direction: against Russia's conduct and in Russia's own claims about Donbas. Not the Soviet famine, which holodomor covers, and not the Crimean Tatars, who have their own identifier.",case,UKR,2014-,2,,
israel_palestine,Israel and Palestine,"Speeches invoking Israeli conduct towards Palestinians, or the conduct of Palestinian and allied armed groups towards Israelis, as genocide or genocidal, up to the war that gaza covers.",case,PSE,1946-2023,2,,
gaza,Gaza,"Speeches invoking the Gaza war as genocide or genocidal, including the proceedings South Africa brought against Israel at the ICJ.",case,PSE,2023-,1,,
apartheid_south_africa,South Africa under apartheid,Speeches invoking apartheid and the violence surrounding its end as genocide or genocidal.,case,ZAF,1948-1994,2,,
cuba_us_sanctions,United States embargo against Cuba,Speeches describing the United States embargo against Cuba as genocidal.,case,CUB,,1,,
economic_sanctions_other,Other sanctions regimes,"Speeches describing a sanctions regime other than the Cuban embargo as genocidal, such as the measures against Iraq in the 1990s.",case,,,1,,
holocaust,The Holocaust,Speeches invoking the Nazi extermination of European Jews and its commemoration as genocide or genocidal.,historical,,1941-1945,1,,
armenian_genocide,The Ottoman Armenians,Speeches invoking the deportation and mass killing of Ottoman Armenians as genocide or genocidal.,historical,ARM,1915-1917,1,,
holodomor,The Soviet famine in Ukraine,"Speeches invoking the Soviet famine in Ukraine as genocide or genocidal, which speakers raise as a case of its own rather than as part of the war that ukraine covers.",historical,UKR,1932-1933,2,,
colonial_era,Colonial-era mass violence,"Speeches invoking mass violence under colonial rule as genocide or genocidal, such as the campaign against the Herero and Nama.",historical,,,1,,
genocide_in_general,Genocide in general,"Abstract discussion of genocide, including prevention doctrine, with no single case in view.",meta,,,1,,
genocide_convention_law,Genocide Convention and legal definition,"The 1948 Convention, the legal definition of the crime, and jurisdiction over it before the ICJ or the ICC.",meta,,,1,,
institutional_mandate,Institutional title or mandate,"The name or mandate of an office or body, such as the Special Adviser on the Prevention of Genocide or a tribunal's title.",meta,,,1,,
hypothetical_future,Prospective or unnamed genocide,Warnings that a genocide may come where no specific past or present case is named.,meta,,,1,2,
